Any,Nom_Districte,Nom_Barri,Sexe,Emmigrants,Immigrants
2017,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Dones,334,650
2017,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Dones,680,1342
2017,Sarrià-Sant Gervasi,el Putxet i el Farró,Dones,485,782
2017,Gràcia,Vallcarca i els Penitents,Dones,261,417
2017,Gràcia,el Coll,Dones,105,206
2017,Gràcia,la Salut,Dones,202,350
2017,Gràcia,la Vila de Gràcia,Dones,933,1964
2017,Gràcia,el Camp d'en Grassot i Gràcia Nova,Dones,542,958
2017,Horta-Guinardó,el Baix Guinardó,Dones,385,665
2017,Horta-Guinardó,Can Baró,Dones,155,233
2017,Horta-Guinardó,el Guinardó,Dones,561,963
2017,Horta-Guinardó,la Font d'en Fargues,Dones,100,162
2017,Horta-Guinardó,el Carmel,Dones,500,743
2017,Horta-Guinardó,la Teixonera,Dones,189,266
2017,Horta-Guinardó,Sant Genís dels Agudells,Dones,111,173
2017,Horta-Guinardó,Montbau,Dones,82,127
2017,Horta-Guinardó,la Vall d'Hebron,Dones,59,95
2017,Horta-Guinardó,la Clota,Dones,9,21
2017,Horta-Guinardó,Horta,Dones,354,606
2017,Nou Barris,Vilapicina i la Torre Llobeta,Dones,372,547
2017,Nou Barris,Porta,Dones,371,751
2017,Nou Barris,el Turó de la Peira,Dones,263,469
2017,Nou Barris,Can Peguera,Dones,28,31
2017,Nou Barris,la Guineueta,Dones,207,275
2017,Nou Barris,Canyelles,Dones,55,78
2017,Nou Barris,les Roquetes,Dones,302,507
2017,Nou Barris,Verdun,Dones,201,361
2017,Nou Barris,la Prosperitat,Dones,379,635
2017,Nou Barris,la Trinitat Nova,Dones,167,237
2017,Nou Barris,Torre Baró,Dones,51,42
2017,Nou Barris,Ciutat Meridiana,Dones,204,429
2017,Nou Barris,Vallbona,Dones,36,38
2017,Sant Andreu,la Trinitat Vella,Dones,223,307
2017,Sant Andreu,Baró de Viver,Dones,46,45
2017,Sant Andreu,el Bon Pastor,Dones,192,351
2017,Sant Andreu,Sant Andreu,Dones,739,1026
2017,Sant Andreu,la Sagrera,Dones,461,711
2017,Sant Andreu,el Congrés i els Indians,Dones,205,306
2017,Sant Andreu,Navas,Dones,323,487
2017,Sant Martí,el Camp de l'Arpa del Clot,Dones,675,1126
2017,Sant Martí,el Clot,Dones,374,651
2017,Sant Martí,el Parc i la Llacuna del Poblenou,Dones,226,469
2017,Sant Martí,la Vila Olímpica del Poblenou,Dones,128,220
2017,Sant Martí,el Poblenou,Dones,506,891
2017,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Dones,223,401
2017,Sant Martí,el Besòs i el Maresme,Dones,470,870
2017,Sant Martí,Provençals del Poblenou,Dones,306,505
2017,Sant Martí,Sant Martí de Provençals,Dones,363,537
2017,Sant Martí,la Verneda i la Pau,Dones,421,638
2018,Ciutat Vella,el Raval,Homes,1279,3353
2018,Ciutat Vella,el Barri Gòtic,Homes,527,2047
2018,Ciutat Vella,la Barceloneta,Homes,364,917
2018,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Homes,551,1481
2018,Eixample,el Fort Pienc,Homes,590,1194
2018,Eixample,la Sagrada Família,Homes,913,1812
2018,Eixample,la Dreta de l'Eixample,Homes,712,1596
2018,Eixample,l'Antiga Esquerra de l'Eixample,Homes,807,1842
2018,Eixample,la Nova Esquerra de l'Eixample,Homes,999,1860
2018,Eixample,Sant Antoni,Homes,706,1312
2018,Sants-Montjuïc,el Poble-sec,Homes,931,1736
2018,Sants-Montjuïc,la Marina del Prat Vermell,Homes,13,25
2018,Sants-Montjuïc,la Marina de Port,Homes,552,841
2018,Sants-Montjuïc,la Font de la Guatlla,Homes,214,358
2018,Sants-Montjuïc,Hostafrancs,Homes,366,644
2018,Sants-Montjuïc,la Bordeta,Homes,380,604
2018,Sants-Montjuïc,Sants - Badal,Homes,503,829
2018,Sants-Montjuïc,Sants,Homes,1022,1699
2018,Les Corts,les Corts,Homes,751,1176
2018,Les Corts,la Maternitat i Sant Ramon,Homes,518,680
2018,Les Corts,Pedralbes,Homes,222,330
2018,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Homes,86,78
2018,Sarrià-Sant Gervasi,Sarrià,Homes,429,597
2018,Sarrià-Sant Gervasi,les Tres Torres,Homes,259,324
